OOC Entry Hall,OOC Entry Hall.jpg
The cave mouth,The cave mouth.jpg
Wolf Den,Wolf Den.jpg
Cave,Cave.jpg
Subterranean Chamber,Subterranean Chamber.jpg
Gates of the Citadel,Gates of the Citadel.jpg
Gatehouse,Gatehouse.jpg
Parade Ground,Parade Ground.jpg
Barracks,Barracks.jpg
Commander\'s Office,Commanders Office.jpg
Bank,Bank.jpg
Royal Stables,Royal Stables.jpg
Gymnasium,Gymnasium.jpg
Rope,Rope.jpg
Rafters,Rafters.jpg
### BASILICA
Basilica of the Holy Luminaris,Basilica of the Holy Luminaris.jpg
Narthex,Basilica of the Holy Luminaris.jpg
North Tower,Basilica of the Holy Luminaris.jpg
Nave Aisle,Basilica of the Holy Luminaris.jpg
Nave,Basilica of the Holy Luminaris.jpg
North Transept,Basilica of the Holy Luminaris.jpg
Stairwell,Landing.jpg
Chancel Aisle,Basilica of the Holy Luminaris.jpg
Apse,Basilica of the Holy Luminaris.jpg
Chancel,Basilica of the Holy Luminaris.jpg
Transept Crossing,Basilica of the Holy Luminaris.jpg
South Transept,Basilica of the Holy Luminaris.jpg
South Tower,Basilica of the Holy Luminaris.jpg
South Tower - Second Floor,Basilica of the Holy Luminaris.jpg
Triforium,Basilica of the Holy Luminaris.jpg
Steeple Tower,Basilica of the Holy Luminaris.jpg
North Tower - Second Floor,Basilica of the Holy Luminaris.jpg
North Tower - Third Floor,Basilica of the Holy Luminaris.jpg
South Tower - Third Floor,Basilica of the Holy Luminaris.jpg
### NECROPOLIS
Necropolis,Necropolis.jpg
Outside the Temple,Outside the Temple.jpg
Temple,Temple.jpg
Catacombs,Catacombs.jpg
Underworld Portal,Underworld Portal.jpg
